tag,seed,noise_type,eta,policy,budget,p,n_train,hidden,batch_size,epochs_ran,epochs_planned,eval_every,lr,weight_decay,grok_threshold,grok_consecutive,loss_warmup_epochs,num_corrupted,num_audited,num_corrected,hit_rate,correction_rate,time_to_grok,time_to_0.80,time_to_0.90,final_test_acc,final_train_acc,gap_area,auc_test,wall_time_sec,stopped_early,status
audit_input_dep_eta0.01_none_seed0,0,input_dep,0.01,none,0,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,50,0,0,0.0,0.0,,,,0.681050058454671,0.9948,40.06300252949305,59.43819747050697,3597.6073129177094,False,completed
audit_input_dep_eta0.01_random_audit_B400_seed0,0,input_dep,0.01,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,50,400,5,0.0125,0.1,,,,0.6936975236475714,0.9954,38.02046627696886,61.54033372303115,3704.0752770900726,False,completed
audit_input_dep_eta0.01_random_audit_B800_seed0,0,input_dep,0.01,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,50,800,12,0.015,0.24,,,,0.6884897438622596,0.9956,37.67647144223616,61.905728557763844,3677.5810322761536,False,completed
audit_input_dep_eta0.01_region_audit_B400_seed0,0,input_dep,0.01,region_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,50,400,16,0.04,0.32,,,,0.7347220746094165,0.997,33.70238822404082,66.0188117759592,19334.092298030853,False,completed
audit_input_dep_eta0.01_region_audit_B800_seed0,0,input_dep,0.01,region_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,50,800,35,0.04375,0.7,,116000,,0.8040174301200977,0.9982,25.530765118503556,74.31023488149644,4104.3791036605835,False,completed
audit_input_dep_eta0.01_loss_audit_B400_seed0,0,input_dep,0.01,loss_audit,400,97,5000,256,512,62000,200000,2000,0.001,0.02,0.95,5,2000,50,400,30,0.075,0.6,54000,24000,32000,0.9580189180571793,1.0,6.635836858327133,24.38516314167287,1205.5945558547974,True,completed
audit_input_dep_eta0.01_loss_audit_B800_seed0,0,input_dep,0.01,loss_audit,800,97,5000,256,512,54000,200000,2000,0.001,0.02,0.95,5,2000,50,800,35,0.04375,0.7,46000,24000,34000,0.9622701668615156,1.0,6.308371856732915,20.71282814326708,3837.799679994583,True,completed
audit_uniform_eta0.01_none_seed0,0,uniform,0.01,none,0,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,50,0,0,0.0,0.0,,,,0.7127218620469763,0.996,35.77174445743438,63.84865554256562,5417.716256856918,False,completed
audit_uniform_eta0.01_random_audit_B400_seed0,0,uniform,0.01,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,50,400,4,0.01,0.08,,,,0.7459878839409076,0.9964,32.83433210755659,66.82686789244342,7871.394567251205,False,completed
audit_uniform_eta0.01_random_audit_B800_seed0,0,uniform,0.01,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,50,800,6,0.0075,0.12,,,,0.7281326389626953,0.9964,33.95211682431714,65.70868317568285,24683.597432613373,False,completed
audit_uniform_eta0.01_region_audit_B400_seed0,0,uniform,0.01,region_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,50,400,6,0.015,0.12,,,,0.7117653310660006,0.9964,34.909554086512905,64.7520459134871,4109.997241020203,False,completed
audit_uniform_eta0.01_region_audit_B800_seed0,0,uniform,0.01,region_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,50,800,12,0.015,0.24,,,,0.7331278563077904,0.9968,33.66058801147837,66.04081198852163,3534.797510623932,False,completed
audit_uniform_eta0.01_loss_audit_B400_seed0,0,uniform,0.01,loss_audit,400,97,5000,256,512,74000,200000,2000,0.001,0.02,0.95,5,2000,50,400,26,0.065,0.52,66000,28000,36000,0.9751301944946328,1.0,7.171787926453397,29.849612073546602,1329.1058778762817,True,completed
audit_uniform_eta0.01_loss_audit_B800_seed0,0,uniform,0.01,loss_audit,800,97,5000,256,512,68000,200000,2000,0.001,0.02,0.95,5,2000,50,800,33,0.04125,0.66,60000,22000,30000,0.9630141354022744,1.0,6.367251652672972,27.65394834732703,1244.0366520881653,True,completed
audit_input_dep_eta0.08_none_seed0,0,input_dep,0.08,none,0,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,400,0,0,0.0,0.0,,,,0.3804867679880965,0.9718,59.29066944414922,37.912530555850786,3581.6015360355377,False,completed
audit_input_dep_eta0.08_random_audit_B400_seed0,0,input_dep,0.08,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,400,400,32,0.08,0.08,,,,0.38325007971091507,0.974,59.18674941013923,38.23605058986077,3608.9301748275757,False,completed
audit_input_dep_eta0.08_random_audit_B800_seed0,0,input_dep,0.08,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,400,800,64,0.08,0.16,,,,0.3868636411946009,0.9766,59.20416541609097,38.479434583909025,3616.14652299881,False,completed
audit_input_dep_eta0.08_region_audit_B400_seed0,0,input_dep,0.08,region_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,400,400,129,0.3225,0.3225,,,,0.3943033266021894,0.9796,58.82818594962271,39.154214050377306,9037.749599218369,False,completed
audit_input_dep_eta0.08_region_audit_B800_seed0,0,input_dep,0.08,region_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,400,800,256,0.32,0.64,,,,0.5073865447975343,0.9892,54.527171835476665,44.41502816452333,4579.570397615433,False,completed
audit_input_dep_eta0.08_loss_audit_B400_seed0,0,input_dep,0.08,loss_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,400,400,199,0.4975,0.4975,,58000,,0.8890424062068233,1.0,21.349627314273565,78.67297268572644,4040.879559993744,False,completed
audit_input_dep_eta0.08_loss_audit_B800_seed0,0,input_dep,0.08,loss_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,400,800,290,0.3625,0.725,,42000,76000,0.9274099266659581,1.0,15.699611372090551,84.32298862790945,3908.9747924804688,False,completed
audit_uniform_eta0.08_none_seed0,0,uniform,0.08,none,0,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,400,0,0,0.0,0.0,,,,0.38569454777340845,0.9668,58.542653544478696,38.15814645552131,31919.72202372551,False,completed
